course,motiv_degree_req,motiv_comp_skills,motiv_career_adv,motiv_career_change,motiv_prof_dev,motiv_job_displace,motiv_reolocation,motiv_certif,motiv_financial,motiv_personal,motiv_curiosity,major,interest_level,interest_web_dev,interest_cybersecurity,interest_app_dev,interest_data_analytics,interest_ML_AI,interest_comp_prog,interest_game_design,interest_hardware,gender,race_ethnicity,age
CMP 126 Computer Technology and Applications,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Liberal Arts,2,Yes,Yes,No,No,No,No,No,No,Prefer not to say,Hispanic;Black;White;Multi-Racial,19-20
CMP 126 Computer Technology and Applications,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Psychology,3,No,Yes,Yes,Yes,Yes,Yes,No,No,Woman,Hispanic,19-20
CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Broadcasting,5,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Man,Choose not to reply,18 and younger
CMP 126 Computer Technology and Applications,No,Yes,No,No,No,No,No,No,No,No,No,Business,3,No,No,No,Yes,No,No,Yes,No,Man,Hispanic,19-20
CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Journalism,3,No,No,No,No,No,No,No,No,Woman,White,19-20
CMP 101 Computer Information Literacy,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Liberal Arts,3,Yes,No,Yes,No,No,No,Yes,No,Woman,White,19-20
CMP 101 Computer Information Literacy,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Education,3,No,No,No,No,No,No,Yes,No,Woman,Hispanic,19-20
CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Nursing,3,No,No,No,No,No,No,No,No,Woman,Hispanic;Black,18 and younger
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No,No,No,No,No,Liberal Arts,2,No,No,No,Yes,No,No,No,Yes,Woman,White,19-20
CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,Liberal Arts,1,No,No,No,No,No,No,No,No,Woman,White,19-20
CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Nursing,2,Yes,No,Yes,No,No,Yes,No,No,Woman,Asian,25-34
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Radiography,2,No,No,No,No,No,No,No,No,Woman,Hispanic;White,21-24
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Radiography,2,No,No,No,No,No,No,No,No,Woman,Hispanic;White,21-24
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Radiography,1,No,No,No,No,No,No,No,No,Woman,White,21-24
CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Radiography,2,No,No,No,No,No,No,Yes,No,Non-binary,White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Health Sciences,2,No,No,No,No,Yes,No,No,No,Man,White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Radiography,2,No,No,No,No,No,No,No,No,Woman,White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Health Sciences,2,No,No,No,No,No,No,No,No,Man,White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Radiography,4,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Woman,Hispanic,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Engineering,2,No,No,No,Yes,Yes,Yes,No,Yes,Man,Asian;Black,19-20
CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,Radiography,3,No,No,No,No,No,No,No,No,Woman,White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,Engineering,2,No,No,No,No,No,No,No,No,Man,Asian;White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Radiography,2,No,No,No,No,No,No,No,No,Man,White,25-34
CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Radiography,3,No,Yes,No,No,No,No,No,No,Man,Hispanic,25-34
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Radiography,5,Yes,Yes,No,Yes,No,Yes,No,Yes,Woman,Hispanic,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Music and Performing Arts,2,No,No,No,No,No,No,Yes,No,Man,Hispanic;White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Nursing,2,Yes,Yes,Yes,No,No,No,Yes,No,Woman,White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Engineering,2,No,No,No,No,No,Yes,No,No,Man,White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Radiography,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,Asian;White,25-34
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Radiography,2,No,No,No,Yes,No,No,No,No,Woman,Hispanic,21-24
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Radiography,2,No,No,No,No,No,No,No,No,Woman,Hispanic,21-24
CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Radiography,4,No,Yes,No,Yes,No,No,Yes,No,Woman,Hispanic;White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Radiography,1,Yes,No,Yes,No,Yes,No,Yes,No,Woman,American Indian/Native American/Alaska Native;White,18 and younger
CMP 101 Computer Information Literacy,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Liberal Arts,3,No,Yes,No,Yes,No,No,No,Yes,Man,White,35-64
CMP 101 Computer Information Literacy,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Nursing,1,No,Yes,No,No,No,No,No,No,Woman,Hispanic;White;Multi-Racial,21-24
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Radiography,1,No,No,No,No,No,No,No,No,Man,White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Radiography,3,Yes,No,Yes,No,No,No,No,No,Man,Black,21-24
CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,Liberal Arts,1,No,No,No,No,No,No,No,No,Man,White,19-20
CMP 135 Computer Concepts with Applications,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Psychology,3,No,Yes,No,No,No,No,No,No,Woman,White,19-20
CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Radiography,2,No,No,No,No,Yes,No,No,No,Woman,Hispanic,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Nursing,5,Yes,No,No,No,Yes,Yes,No,No,Woman,Hispanic,21-24
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Radiography,5,No,Yes,No,No,Yes,No,Yes,No,Woman,Hispanic;Asian;White,18 and younger
CMP 135 Computer Concepts with Applications,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Criminal Justice,1,No,No,No,No,No,No,No,No,Woman,Black,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Undecided,1,No,No,No,No,No,No,No,No,Woman,Hispanic,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Radiography,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,Choose not to reply,25-34
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Health Sciences,3,Yes,No,Yes,Yes,Yes,Yes,No,No,Woman,Hispanic,21-24
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Health Sciences,3,No,No,No,No,No,No,No,No,Woman,Hispanic,21-24
CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Criminal Justice,3,No,Yes,Yes,No,No,No,Yes,No,Man,White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Radiography,4,No,No,No,No,Yes,No,Yes,No,Woman,White,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Radiography,1,No,No,No,No,No,No,No,No,Man,Hispanic,19-20
CMP 101 Computer Information Literacy,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Biology,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,Hispanic,19-20
CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Radiography,5,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Woman,Hispanic,25-34
CMP 126 Computer Technology and Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Criminal Justice,3,No,Yes,Yes,No,No,Yes,Yes,Yes,Man,Black,19-20
CMP 101 Computer Information Literacy,Yes,No,No,No,Yes,No,No,No,No,No,No,Liberal Arts,3,No,No,No,No,No,No,No,No,Man,White,35-64
CMP 126 Computer Technology and Applications,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Broadcasting,2,No,No,No,Yes,No,No,No,Yes,Woman,White,19-20
